GRIDCODE,CVIDE,Fa,Area VEGxCELDA,AREA ENTIDADxMUN
200703,16054,0.075245673,2337409.88,31063711.66
200705,16036,0.002915077,85452.07,29313831.54
200706,16018,0.00015115,2712.43,17945255.08
200706,16036,0.17842088,5230199.61,29313831.54
200707,16018,0.001160924,20833.09,17945255.08
200707,16036,0.037544849,1100583.36,29313831.54
200707,16036,0.118668807,3478637.40,29313831.54
200707,16036,0.000380017,11139.76,29313831.54
200708,16036,0.194059584,5688629.96,29313831.54
200709,16036,0.081491236,2388820.37,29313831.54
200709,16020,0.061958867,6611179.63,106702720.5
200710,16020,0.063913597,6819754.65,106702720.5
200710,16020,0.013243301,1413096.25,106702720.5
200711,16020,0.006454712,688735.37,106702720.5
200711,16020,0.016270998,1736159.77,106702720.5
200712,16020,0.018161455,1937876.60,106702720.5
200713,16020,0.007527375,803191.39,106702720.5
200715,16020,0.000736124,78546.42,106702720.5
200715,16078,0.014051065,1234229.48,87838853.33
200716,16078,0.023161243,2034457.04,87838853.33
200716,16078,0.038676728,3397319.46,87838853.33
200716,11002,0.000604244,324689.18,537347805.4
200717,16078,0.007389874,649118.08,87838853.33
200717,11002,0.008471444,4552111.88,537347805.4
200718,11002,0.009942069,5342348.76,537347805.4
200719,11002,0.015113925,8121434.29,537347805.4
200720,11002,0.012042448,6470982.94,537347805.4
200720,11002,0.004706481,2529017.06,537347805.4
200721,11002,0.004366551,2346356.70,537347805.4
200721,11002,0.010944605,5881059.62,537347805.4
200721,11002,0.001437772,772583.68,537347805.4
200722,16110,0.008131847,569487.02,70031697.49
200722,16110,3.58644E-07,71.80,200210552.9
200722,11002,0.002276737,1223399.37,537347805.4
200722,11002,0.009701895,698724.26,72019359.14
200722,11002,0.011088885,5958588.28,537347805.4
200722,11002,0.001023042,549729.27,537347805.4
200723,11002,0.003291096,1768463.45,537347805.4
200723,11002,0.075680814,5450483.70,72019359.14
200723,11002,0.003314525,1781052.85,537347805.4
200724,11002,0.00019217,103262.36,537347805.4
200724,11002,0.123532585,8896737.64,72019359.14
200725,11002,0.094186681,6783264.37,72019359.14
200725,11002,0.001073596,576894.72,537347805.4
200726,11002,0.002811297,202467.83,72019359.14
200726,11002,0.000844245,453653.16,537347805.4
200728,11002,0.001438366,772902.57,537347805.4
200729,11002,0.007369114,3959777.28,537347805.4
200730,16050,0.008395807,2544321.37,303046664.4
200730,11038,0.012258337,1155532.44,94265022.89
200730,11002,0.003282284,1763727.97,537347805.4
200731,16050,0.009959615,3018227.99,303046664.4
200731,11038,0.022738719,2143465.88,94265022.89
200732,16050,0.001638884,496658.31,303046664.4
200732,11038,0.000388504,36622.33,94265022.89
200732,11038,0.054834499,5168975.31,94265022.89
200732,11038,0.008916485,840512.68,94265022.89
200733,11038,0.08962961,8448937.21,94265022.89
200733,11038,0.005845888,551062.79,94265022.89
200734,16050,0.004122261,583798.97,141621072.5
200734,11038,0.072117028,6798113.26,94265022.89
200734,11038,0.459019311,1618087.77,3525097.377
200735,16050,0.032864179,4654260.31,141621072.5
200735,16050,0.000339557,102901.62,303046664.4
200735,11019,0.000906126,505541.80,557915746.9
200735,11019,0.24922773,1511470.13,6064614.591
200735,11038,0.005038747,474977.56,94265022.89
200735,11038,0.496680914,1750848.59,3525097.377
200736,16050,0.037491573,5309596.78,141621072.5
200736,11019,0.000216429,120749.06,557915746.9
200736,11019,0.588603628,3569654.15,6064614.591
200737,16050,0.018596566,2633665.67,141621072.5
200737,11019,0.082742589,501801.91,6064614.591
200738,16031,0.001680412,280178.72,166732178.9
200738,11019,0.000327596,182770.76,557915746.9
200743,16017,0.017217837,4387472.91,254821380.9
200744,16017,0.035318857,9000000.00,254821380.9
200745,16017,0.018940182,4826363.42,254821380.9
200747,15085,0.020734358,4733478.93,228291559.5
200748,15085,0.010678244,2437753.02,228291559.5
